period,month,trades,wins,win_rate,profit_r,profit_usd
final,2023-01,116,61,52.6,32.25,38697.96
final,2023-02,68,29,42.6,1.16,1395.01
final,2023-03,89,43,48.3,24.37,29242.75
final,2023-04,64,38,59.4,28.48,34180.31
final,2023-05,76,37,48.7,17.44,20931.66
final,2023-06,69,36,52.2,21.45,25745.37
final,2023-07,114,49,43.0,10.19,12231.4
final,2023-08,67,31,46.3,7.63,9151.81
final,2023-09,69,22,31.9,-17.49,-20984.62
final,2023-10,95,47,49.5,23.12,27747.03
final,2023-11,94,28,29.8,-30.99,-37185.0
final,2023-12,60,34,56.7,26.09,31306.06
final,2024-01,69,39,56.5,29.95,35935.48
final,2024-02,62,27,43.5,4.53,5434.59
final,2024-03,77,35,45.5,5.39,6469.51
final,2024-04,136,66,48.5,32.57,39086.09
final,2024-05,60,30,50.0,17.52,21023.2
final,2024-06,79,34,43.0,3.68,4413.14
final,2024-07,70,23,32.9,-12.58,-15092.01
final,2024-08,65,32,49.2,16.23,19480.3
final,2024-09,92,45,48.9,17.7,21234.19
final,2024-10,56,32,57.1,22.51,27013.38
final,2024-11,91,51,56.0,38.6,46323.51
final,2024-12,69,36,52.2,15.47,18563.47
final,2025-01,92,43,46.7,14.84,17806.12
final,2025-02,68,38,55.9,24.06,28868.27
final,2025-03,69,30,43.5,14.44,17329.6
final,2025-04,95,54,56.8,52.86,63433.34
final,2025-05,60,36,60.0,26.35,31625.76
final,2025-06,48,26,54.2,22.21,26648.9
final,2025-07,68,26,38.2,-4.55,-5454.11
final,2025-08,77,45,58.4,34.6,41517.66
final,2025-09,65,35,53.8,21.84,26203.92
final,2025-10,88,47,53.4,30.14,36170.13
final,2025-11,76,34,44.7,5.56,6675.94
final,2025-12,13,10,76.9,10.11,12135.32
final,TOTAL,2726,1329,48.8,587.75,705305.44
