symbol,trades,wins,win_rate,profit_r,profit_usd,avg_r_per_trade
XAU_USD,69,39,56.5,24.33,24328.63,0.353
GBP_JPY,62,39,62.9,24.21,24211.86,0.391
CHF_JPY,71,42,59.2,22.39,22390.78,0.315
USD_CAD,100,54,54.0,14.87,14866.71,0.149
EUR_USD,79,42,53.2,12.31,12309.12,0.156
XAG_USD,78,37,47.4,12.09,12092.05,0.155
EUR_NZD,70,36,51.4,10.48,10481.43,0.15
GBP_USD,74,37,50.0,9.24,9243.39,0.125
NZD_CHF,56,27,48.2,2.27,2270.05,0.041
BTC_USD,84,33,39.3,-0.54,-540.83,-0.006
EUR_JPY,83,39,47.0,-1.23,-1229.34,-0.015
AUD_USD,88,41,46.6,-4.66,-4655.52,-0.053
AUD_NZD,76,32,42.1,-5.86,-5859.99,-0.077
ETH_USD,81,27,33.3,-13.86,-13857.92,-0.171
NZD_USD,86,31,36.0,-19.73,-19733.11,-0.229
NZD_JPY,74,26,35.1,-20.48,-20479.12,-0.277
TOTAL,1231,582,47.3,65.84,65838.18,0.053
