period,month,trades,wins,win_rate,profit_r,profit_usd
training,2023-01,101,53,52.5,11.82,11817.84
training,2023-02,64,28,43.8,-4.03,-4033.98
training,2023-03,91,52,57.1,31.87,31869.44
training,2023-04,60,39,65.0,24.07,24072.42
training,2023-05,79,40,50.6,11.26,11259.86
training,2023-06,58,34,58.6,17.73,17734.21
training,2023-07,103,47,45.6,1.54,1544.17
training,2023-08,72,31,43.1,-6.32,-6315.1
training,2023-09,62,19,30.6,-24.86,-24859.93
training,2023-10,92,49,53.3,19.54,19535.22
training,2023-11,85,29,34.1,-24.97,-24969.59
training,2023-12,55,33,60.0,18.63,18628.46
training,2024-01,63,39,61.9,21.54,21535.25
training,2024-02,59,24,40.7,-7.52,-7519.24
training,2024-03,70,32,45.7,3.19,3187.37
training,2024-04,114,66,57.9,36.67,36668.23
training,2024-05,57,27,47.4,0.94,940.97
training,2024-06,68,29,42.6,-6.94,-6938.49
training,2024-07,63,15,23.8,-31.84,-31843.61
training,2024-08,46,25,54.3,9.09,9094.51
training,2024-09,55,27,49.1,-1.53,-1525.52
training,TOTAL,1517,738,48.6,99.88,99882.5
validation,2024-10,60,34,56.7,14.39,14388.18
validation,2024-11,102,43,42.2,-7.06,-7059.33
validation,2024-12,69,31,44.9,-6.14,-6142.79
validation,2025-01,94,34,36.2,-19.42,-19418.69
validation,2025-02,77,38,49.4,2.96,2957.17
validation,2025-03,56,25,44.6,6.89,6889.61
validation,2025-04,94,60,63.8,47.77,47770.09
validation,2025-05,53,30,56.6,9.77,9771.76
validation,2025-06,43,21,48.8,4.21,4214.03
validation,2025-07,68,26,38.2,-9.08,-9079.85
validation,2025-08,70,44,62.9,23.38,23379.04
validation,2025-09,66,34,51.5,8.65,8652.67
validation,2025-10,80,43,53.8,13.85,13852.66
validation,2025-11,78,38,48.7,2.0,1995.95
validation,2025-12,8,5,62.5,1.57,1567.36
validation,TOTAL,1018,506,49.7,93.74,93737.85
final,2023-01,50,28,56.0,8.72,8717.22
final,2023-02,38,15,39.5,-5.77,-5769.52
final,2023-03,56,26,46.4,6.55,6551.03
final,2023-04,33,17,51.5,3.86,3859.65
final,2023-05,41,16,39.0,-5.58,-5581.88
final,2023-06,21,10,47.6,2.65,2654.92
final,2023-07,51,17,33.3,-14.77,-14771.86
final,2023-08,30,12,40.0,-4.78,-4784.89
final,2023-09,27,10,37.0,-6.9,-6895.55
final,2023-10,42,27,64.3,21.53,21529.47
final,2023-11,44,16,36.4,-10.37,-10372.29
final,2023-12,31,17,54.8,4.01,4007.22
final,2024-01,30,15,50.0,3.12,3120.22
final,2024-02,31,11,35.5,-5.31,-5313.99
final,2024-03,36,15,41.7,-0.64,-641.99
final,2024-04,40,28,70.0,23.85,23846.56
final,2024-05,27,13,48.1,2.07,2070.95
final,2024-06,28,10,35.7,-7.34,-7337.4
final,2024-07,34,9,26.5,-16.81,-16805.22
final,2024-08,37,19,51.4,5.83,5825.97
final,2024-09,32,18,56.2,6.73,6734.27
final,2024-10,18,11,61.1,6.15,6150.05
final,2024-11,45,25,55.6,12.93,12929.97
final,2024-12,31,15,48.4,0.92,918.73
final,2025-01,45,21,46.7,3.38,3382.13
final,2025-02,23,6,26.1,-10.08,-10078.44
final,2025-03,25,10,40.0,-0.84,-842.39
final,2025-04,45,28,62.2,19.22,19224.71
final,2025-05,33,16,48.5,0.62,624.31
final,2025-06,29,14,48.3,2.33,2334.47
final,2025-07,37,18,48.6,5.98,5979.47
final,2025-08,38,21,55.3,8.86,8860.55
final,2025-09,37,14,37.8,-2.37,-2371.13
final,2025-10,33,17,51.5,5.79,5788.79
final,2025-11,32,16,50.0,1.29,1286.99
final,2025-12,1,1,100.0,1.01,1007.11
final,TOTAL,1231,582,47.3,65.84,65838.18
