Symbol,Trades,Wins,Win Rate %,Total R,Profit USD
ETH_USD,9,7,77.8,+6.4,"$+6,409.17"
GBP_NZD,5,5,100.0,+5.2,"$+5,248.54"
GBP_JPY,8,7,87.5,+4.4,"$+4,372.34"
EUR_NZD,5,5,100.0,+4.2,"$+4,229.70"
EUR_CAD,6,6,100.0,+4.2,"$+4,196.46"
GBP_CAD,6,5,83.3,+2.2,"$+2,219.96"
GBP_CHF,4,4,100.0,+2.1,"$+2,129.67"
AUD_USD,6,5,83.3,+2.1,"$+2,119.03"
USD_JPY,2,2,100.0,+2.1,"$+2,106.43"
XAG_USD,4,3,75.0,+1.7,"$+1,700.30"
GBP_USD,6,4,66.7,+1.7,"$+1,676.68"
EUR_JPY,3,2,66.7,+1.6,"$+1,629.28"
CAD_JPY,5,5,100.0,+1.2,"$+1,248.57"
CAD_CHF,5,5,100.0,+1.1,"$+1,115.99"
NZD_JPY,2,2,100.0,+1.1,"$+1,075.45"
AUD_JPY,1,1,100.0,+1.0,"$+1,035.30"
BTC_USD,5,3,60.0,+0.2,$+178.79
EUR_GBP,10,5,50.0,+0.1,$+63.44
USD_CHF,3,2,66.7,+0.1,$+62.13
USD_CAD,1,1,100.0,+0.0,$+33.51
GBP_AUD,11,6,54.5,-0.7,$-675.54
EUR_CHF,8,5,62.5,-0.8,$-815.10
NZD_CHF,7,3,42.9,-0.9,$-874.34
NZD_USD,5,2,40.0,-0.9,$-946.64
SPX500_USD,1,0,0.0,-1.0,"$-1,000.00"
EUR_AUD,7,2,28.6,-1.9,"$-1,864.62"
CHF_JPY,6,3,50.0,-1.9,"$-1,866.02"
EUR_USD,3,1,33.3,-2.0,"$-1,960.03"
XAU_USD,2,0,0.0,-2.0,"$-2,000.00"
NAS100_USD,2,0,0.0,-2.0,"$-2,000.00"
AUD_CHF,6,3,50.0,-2.9,"$-2,902.27"
AUD_CAD,6,1,16.7,-4.0,"$-3,985.78"
NZD_CAD,9,3,33.3,-4.9,"$-4,896.22"
